id,state,district,city,service,department,contact_number,alternate_number,email,address,available_24x7
1,Maharashtra,Ratnagiri,Ratnagiri,Police,Police Department,100,112,police@example.gov.in,"Ratnagiri, Ratnagiri, Maharashtra",Yes
2,Maharashtra,Ratnagiri,Ratnagiri,Fire,Fire Department,101,112,fire@example.gov.in,"Ratnagiri, Ratnagiri, Maharashtra",Yes
3,Maharashtra,Ratnagiri,Ratnagiri,Ambulance,Ambulance Department,108,112,ambulance@example.gov.in,"Ratnagiri, Ratnagiri, Maharashtra",Yes
4,Maharashtra,Ratnagiri,Ratnagiri,Disaster Control Room,Disaster Control Room Department,1077,112,disastercontrolroom@example.gov.in,"Ratnagiri, Ratnagiri, Maharashtra",Yes
5,Maharashtra,Ratnagiri,Ratnagiri,Women Helpline,Women Helpline Department,1091,112,womenhelpline@example.gov.in,"Ratnagiri, Ratnagiri, Maharashtra",Yes
6,Maharashtra,Ratnagiri,Ratnagiri,Child Helpline,Child Helpline Department,1098,112,childhelpline@example.gov.in,"Ratnagiri, Ratnagiri, Maharashtra",Yes
7,Maharashtra,Ratnagiri,Ratnagiri City,Police,Police Department,100,112,police@example.gov.in,"Ratnagiri City, Ratnagiri, Maharashtra",Yes
8,Maharashtra,Ratnagiri,Ratnagiri City,Fire,Fire Department,101,112,fire@example.gov.in,"Ratnagiri City, Ratnagiri, Maharashtra",Yes
9,Maharashtra,Ratnagiri,Ratnagiri City,Ambulance,Ambulance Department,108,112,ambulance@example.gov.in,"Ratnagiri City, Ratnagiri, Maharashtra",Yes
10,Maharashtra,Ratnagiri,Ratnagiri City,Disaster Control Room,Disaster Control Room Department,1077,112,disastercontrolroom@example.gov.in,"Ratnagiri City, Ratnagiri, Maharashtra",Yes
11,Maharashtra,Ratnagiri,Ratnagiri City,Women Helpline,Women Helpline Department,1091,112,womenhelpline@example.gov.in,"Ratnagiri City, Ratnagiri, Maharashtra",Yes
12,Maharashtra,Ratnagiri,Ratnagiri City,Child Helpline,Child Helpline Department,1098,112,childhelpline@example.gov.in,"Ratnagiri City, Ratnagiri, Maharashtra",Yes
13,Karnataka,Bengaluru Urban,Bengaluru,Police,Police Department,100,112,police@example.gov.in,"Bengaluru, Bengaluru Urban, Karnataka",Yes
14,Karnataka,Bengaluru Urban,Bengaluru,Fire,Fire Department,101,112,fire@example.gov.in,"Bengaluru, Bengaluru Urban, Karnataka",Yes
15,Karnataka,Bengaluru Urban,Bengaluru,Ambulance,Ambulance Department,108,112,ambulance@example.gov.in,"Bengaluru, Bengaluru Urban, Karnataka",Yes
16,Karnataka,Bengaluru Urban,Bengaluru,Disaster Control Room,Disaster Control Room Department,1077,112,disastercontrolroom@example.gov.in,"Bengaluru, Bengaluru Urban, Karnataka",Yes
17,Karnataka,Bengaluru Urban,Bengaluru,Women Helpline,Women Helpline Department,1091,112,womenhelpline@example.gov.in,"Bengaluru, Bengaluru Urban, Karnataka",Yes
18,Karnataka,Bengaluru Urban,Bengaluru,Child Helpline,Child Helpline Department,1098,112,childhelpline@example.gov.in,"Bengaluru, Bengaluru Urban, Karnataka",Yes
19,Karnataka,Bengaluru Urban,Bengaluru City,Police,Police Department,100,112,police@example.gov.in,"Bengaluru City, Bengaluru Urban, Karnataka",Yes
20,Karnataka,Bengaluru Urban,Bengaluru City,Fire,Fire Department,101,112,fire@example.gov.in,"Bengaluru City, Bengaluru Urban, Karnataka",Yes
21,Karnataka,Bengaluru Urban,Bengaluru City,Ambulance,Ambulance Department,108,112,ambulance@example.gov.in,"Bengaluru City, Bengaluru Urban, Karnataka",Yes
22,Karnataka,Bengaluru Urban,Bengaluru City,Disaster Control Room,Disaster Control Room Department,1077,112,disastercontrolroom@example.gov.in,"Bengaluru City, Bengaluru Urban, Karnataka",Yes
23,Karnataka,Bengaluru Urban,Bengaluru City,Women Helpline,Women Helpline Department,1091,112,womenhelpline@example.gov.in,"Bengaluru City, Bengaluru Urban, Karnataka",Yes
24,Karnataka,Bengaluru Urban,Bengaluru City,Child Helpline,Child Helpline Department,1098,112,childhelpline@example.gov.in,"Bengaluru City, Bengaluru Urban, Karnataka",Yes
25,Gujarat,Ahmedabad,Ahmedabad,Police,Police Department,100,112,police@example.gov.in,"Ahmedabad, Ahmedabad, Gujarat",Yes
26,Gujarat,Ahmedabad,Ahmedabad,Fire,Fire Department,101,112,fire@example.gov.in,"Ahmedabad, Ahmedabad, Gujarat",Yes
27,Gujarat,Ahmedabad,Ahmedabad,Ambulance,Ambulance Department,108,112,ambulance@example.gov.in,"Ahmedabad, Ahmedabad, Gujarat",Yes
28,Gujarat,Ahmedabad,Ahmedabad,Disaster Control Room,Disaster Control Room Department,1077,112,disastercontrolroom@example.gov.in,"Ahmedabad, Ahmedabad, Gujarat",Yes
29,Gujarat,Ahmedabad,Ahmedabad,Women Helpline,Women Helpline Department,1091,112,womenhelpline@example.gov.in,"Ahmedabad, Ahmedabad, Gujarat",Yes
30,Gujarat,Ahmedabad,Ahmedabad,Child Helpline,Child Helpline Department,1098,112,childhelpline@example.gov.in,"Ahmedabad, Ahmedabad, Gujarat",Yes
31,Gujarat,Ahmedabad,Ahmedabad City,Police,Police Department,100,112,police@example.gov.in,"Ahmedabad City, Ahmedabad, Gujarat",Yes
32,Gujarat,Ahmedabad,Ahmedabad City,Fire,Fire Department,101,112,fire@example.gov.in,"Ahmedabad City, Ahmedabad, Gujarat",Yes
