question_id,category,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation
1,Earthquake,Easy,Sample Earthquake question #1: What is the safest action in this scenario?,Ignore the situation,Follow official safety procedures,Panic and run randomly,Wait without informing anyone,B,Following official safety procedures is the recommended response.
2,Flood,Medium,Sample Flood question #2: What is the safest action in this scenario?,Ignore the situation,Follow official safety procedures,Panic and run randomly,Wait without informing anyone,B,Following official safety procedures is the recommended response.
3,Fire Safety,Hard,Sample Fire Safety question #3: What is the safest action in this scenario?,Ignore the situation,Follow official safety procedures,Panic and run randomly,Wait without informing anyone,B,Following official safety procedures is the recommended response.
4,Cyclone,Easy,Sample Cyclone question #4: What is the safest action in this scenario?,Ignore the situation,Follow official safety procedures,Panic and run randomly,Wait without informing anyone,B,Following official safety procedures is the recommended response.
5,Tsunami,Medium,Sample Tsunami question #5: What is the safest action in this scenario?,Ignore the situation,Follow official safety procedures,Panic and run randomly,Wait without informing anyone,B,Following official safety procedures is the recommended response.
6,First Aid,Hard,Sample First Aid question #6: What is the safest action in this scenario?,Ignore the situation,Follow official safety procedures,Panic and run randomly,Wait without informing anyone,B,Following official safety procedures is the recommended response.
7,Emergency Response,Easy,Sample Emergency Response question #7: What is the safest action in this scenario?,Ignore the situation,Follow official safety procedures,Panic and run randomly,Wait without informing anyone,B,Following official safety procedures is the recommended response.
8,Disaster Management,Medium,Sample Disaster Management question #8: What is the safest action in this scenario?,Ignore the situation,Follow official safety procedures,Panic and run randomly,Wait without informing anyone,B,Following official safety procedures is the recommended response.
9,Geography,Hard,Sample Geography question #9: What is the safest action in this scenario?,Ignore the situation,Follow official safety procedures,Panic and run randomly,Wait without informing anyone,B,Following official safety procedures is the recommended response.
10,School Safety,Easy,Sample School Safety question #10: What is the safest action in this scenario?,Ignore the situation,Follow official safety procedures,Panic and run randomly,Wait without informing anyone,B,Following official safety procedures is the recommended response.
11,Earthquake,Medium,Sample Earthquake question #11: What is the safest action in this scenario?,Ignore the situation,Follow official safety procedures,Panic and run randomly,Wait without informing anyone,B,Following official safety procedures is the recommended response.
12,Flood,Hard,Sample Flood question #12: What is the safest action in this scenario?,Ignore the situation,Follow official safety procedures,Panic and run randomly,Wait without informing anyone,B,Following official safety procedures is the recommended response.
13,Fire Safety,Easy,Sample Fire Safety question #13: What is the safest action in this scenario?,Ignore the situation,Follow official safety procedures,Panic and run randomly,Wait without informing anyone,B,Following official safety procedures is the recommended response.
14,Cyclone,Medium,Sample Cyclone question #14: What is the safest action in this scenario?,Ignore the situation,Follow official safety procedures,Panic and run randomly,Wait without informing anyone,B,Following official safety procedures is the recommended response.
15,Tsunami,Hard,Sample Tsunami question #15: What is the safest action in this scenario?,Ignore the situation,Follow official safety procedures,Panic and run randomly,Wait without informing anyone,B,Following official safety procedures is the recommended response.
